Protein	Q_Value
HPRR2150393	0.0
HPRR3090113	0.0
HPRR2310052	0.0
HPRR1410031	0.0
HPRR2320042	0.0
HPRR4540014	0.0
HPRR2500088	0.0
HPRR2540402	0.0
HPRR3720402	0.0
HPRR4350096	0.0
HPRR1951583	0.0
HPRR3761106	0.0
HPRR2620054	0.0
HPRR4160484	0.0
HPRR4110155	0.0
HPRR1450141	0.0
HPRR4030177	0.0
HPRR4190863	0.0
HPRR4050590	0.0
HPRR2551249	0.0
HPRR2050313	0.0
HPRR2990028	0.0
HPRR2760182	0.0
HPRR1952500	0.0
HPRR4320615	0.0
HPRR4180150	0.0
HPRR2440154	0.0
HPRR1950268	0.0
HPRR1320009,HPRR4320595	0.0
HPRR3950217	0.0
HPRR4030528	0.0
HPRR4280170	0.0
HPRR2390055	0.0
HPRR1951262	0.0
HPRR2110498	0.0
HPRR540013	0.0
HPRR360208	0.0
HPRR3780010	0.0
HPRR2551790	0.0
HPRR4390277	0.0
HPRR3790336	0.0
HPRR3910060	0.0
HPRR3780084	0.0
HPRR232384	0.0
HPRR3780093	0.0
HPRR1950303	0.0
HPRR3761107	0.0
HPRR1450208	0.0
HPRR3420055	0.0
HPRR4520044	0.0
HPRR4320417	0.0
HPRR1900002	0.0
HPRR3720352	0.0
HPRR3770029	0.0
HPRR3760765	0.0
HPRR3730444	0.0
HPRR4190307	0.0
HPRR3761220	0.0
HPRR1951747	0.0
HPRR2110056	0.0
HPRR2990033	0.0
HPRR2551185	0.0
HPRR2050028	0.0
HPRR4110213	0.0
HPRR340039	0.0
HPRR3720606	0.0
HPRR3760436	0.0
HPRR300183	0.0
HPRR4040278	0.0
HPRR2700128	0.0
HPRR3140345	0.0
HPRR500083	0.0
HPRR1450358	0.0
HPRR280003	0.0
HPRR4340029	0.0
HPRR2890041	0.0
HPRR3950020	0.0
HPRR4040265	0.0
HPRR230897	0.0
HPRR2500716	0.0
HPRR3720679	0.0
HPRR4350081	0.0
HPRR1951431	0.0
HPRR3730024	0.0
HPRR3450022	0.0
HPRR590037	0.0
HPRR2110489	0.0
HPRR3760008	0.0
HPRR4030022	0.0
HPRR4530051	0.0
HPRR2700178	0.0
HPRR670317	0.0
HPRR3890559	0.0
HPRR3730415	0.0
HPRR2090043	0.0
HPRR3730445	0.0
HPRR1951798	0.0
HPRR4050491	0.0
HPRR2250386	0.0
HPRR2552126	0.0
HPRR3890843	0.0
HPRR2650003	0.0
HPRR4370542	0.0
HPRR1450059	0.0
HPRR2500368	0.0
HPRR4050261	0.0
HPRR3870348	0.0
HPRR2540567	0.0
HPRR3761047	0.0
HPRR4320123	0.0
HPRR1952061	0.0
HPRR2330125	0.0
HPRR4110422	0.0
HPRR1450215	0.0
HPRR3730192	0.0
HPRR2210165	0.0
HPRR3700338	0.0
HPRR4030419	0.0
HPRR2880070	0.0
HPRR4160492	0.0
HPRR4450069	0.0
HPRR650006	0.0
HPRR1920021	0.0
HPRR4030046	0.0
HPRR2110192	0.0
HPRR2510213	0.0
HPRR3730146	0.0
HPRR670080	0.0
HPRR340034	0.0
HPRR1450675	0.0
HPRR3670067	0.0
HPRR2320218	0.0
HPRR2180104	0.0
HPRR3870078	0.0
HPRR4310063	0.0
HPRR3790306	0.0
HPRR4290976	0.0
HPRR2050324	0.0
HPRR650016	0.0
HPRR1460001	0.0
