Protein	Q_Value
HPRR3780010	0.0
HPRR3720532	0.0
HPRR4320615	0.0
HPRR4350096	0.0
HPRR4030528	0.0
HPRR4050590	0.0
HPRR4450069	0.0
HPRR4110155	0.0
HPRR3890570	0.0
HPRR4320417	0.0
HPRR3730444	0.0
HPRR4050261	0.0
HPRR3950217	0.0
HPRR4030177	0.0
HPRR4160484	0.0
HPRR4180150	0.0
HPRR4340029	0.0
HPRR3790336	0.0
HPRR3761106	0.0
HPRR3720606	0.0
HPRR3760696	0.0
HPRR3780084	0.0
HPRR3720232	0.0
HPRR4060128	0.0
HPRR4540014	0.0
HPRR2990028	0.0
HPRR3870078	0.0
HPRR3730192	0.0
HPRR3760008	0.0
HPRR2990033	0.0
HPRR3870348	0.0
HPRR4040278	0.0
HPRR4040265	0.0
HPRR3780093	0.0
HPRR3760765	0.0
HPRR3761107	0.0
HPRR4280170	0.0
HPRR4390277	0.0
HPRR4370542	0.0
HPRR4350081	0.0
HPRR3730276	0.0
HPRR4310063	0.0
HPRR3890843	0.0
HPRR3760407	0.0
HPRR3890559	0.0
HPRR3770029	0.0
HPRR4160392	0.0
HPRR3720352	0.0
HPRR3720679	0.0
HPRR3730168	0.0
HPRR4320123	0.0
HPRR4050491	0.0
HPRR3830190	0.0
HPRR4160492	0.0
HPRR3950020	0.0
HPRR3730445	0.0
HPRR4040559	0.0
HPRR4110252	0.0
HPRR3730024	0.0
HPRR4290148	0.0
HPRR3950112	0.0
HPRR4530051	0.0
HPRR4520044	0.0
HPRR4120251	0.0
HPRR4190307	0.0
HPRR3790306	0.0
HPRR3770042	0.0
HPRR3730146	0.0
HPRR3950052	0.0
HPRR4000324	0.0
HPRR4030419	0.0
HPRR4190863	0.0
HPRR3730250	0.0
HPRR3760498	0.0
HPRR4350017	0.0
HPRR3720617	0.0
HPRR4470196	0.0
HPRR3890842	0.0
HPRR4030012	0.0
HPRR4350028	0.0
HPRR3760142	0.0
HPRR3700338	0.0
HPRR4520046	0.0
HPRR4190190	0.0
HPRR3730410	0.0
HPRR3730415	0.0
HPRR4110422	0.0
HPRR3830287	0.0
HPRR3640011	0.0
HPRR4110213	0.0
HPRR4030132	0.0
HPRR4320491	0.0
HPRR4000237	0.0
HPRR4000109	0.0
HPRR3760365	0.0
HPRR3780090	0.0
HPRR3720402	0.0
HPRR3770043	0.0
HPRR3761220	0.0
HPRR3830169	0.0
HPRR4110358	0.0
HPRR4160788	0.0
