Protein	Q_Value
HPRR2310052	0.0
HPRR2890041	0.0
HPRR3950020	0.0
HPRR2700128	0.0
HPRR1450141	0.0
HPRR2620054	0.0
HPRR3090113	0.0
HPRR1950268	0.0
HPRR232384	0.0
HPRR3140345	0.0
HPRR1951431	0.0
HPRR540013	0.0
HPRR1450059	0.0
HPRR2700178	0.0
HPRR3760765	0.0
HPRR1920021	0.0
HPRR2540402	0.0
HPRR2180104	0.0
HPRR2090043	0.0
HPRR1900002	0.0
HPRR3720352	0.0
HPRR1952500	0.0
HPRR360208	0.0
HPRR3761107	0.0
HPRR2390053	0.0
HPRR2050313	0.0
HPRR3760567	0.0
HPRR2320042	0.0
HPRR3450022	0.0
HPRR3910060	0.0
HPRR590037	0.0
HPRR1410031	0.0
HPRR340039	0.0
HPRR2330125	0.0
HPRR2551790	0.0
HPRR2320218	0.0
HPRR1951798	0.0
HPRR1950303	0.0
HPRR2551185	0.0
HPRR2150393	0.0
HPRR2501480	0.0
HPRR1950679	0.0
HPRR2810254	0.0
HPRR2110498	0.0
HPRR2110056	0.0
HPRR2990033	0.0
HPRR3730415	0.0
HPRR2620002	0.0
HPRR2640051	0.0
HPRR3770042	0.0
HPRR330275	0.0
HPRR3020476	0.0
HPRR2510213	0.0
HPRR3420055	0.0
HPRR4520044	0.0
HPRR1320009	0.0
HPRR4320595	0.0
HPRR2440154	0.0
HPRR3880146	0.0
HPRR2110489	0.0
HPRR2250386	0.0
HPRR300183	0.0
HPRR3760436	0.0
HPRR4290976	0.0
HPRR2110192	0.0
HPRR650016	0.0
HPRR1450073	0.0
HPRR4160447	0.0
HPRR4030046	0.0
HPRR2280170	0.0
HPRR670080	0.0
HPRR2360054	0.0
HPRR1950515	0.0
HPRR3640011	0.0
HPRR2510306	0.0
HPRR1951583	0.0
HPRR3761106	0.0
HPRR233074	0.0
HPRR2210165	0.0
HPRR2930357	0.0
HPRR1450208	0.0
HPRR4320489	0.0
HPRR3000481	0.0
HPRR2500088	0.0
HPRR4030012	0.0
HPRR3830190	0.0
HPRR370244	0.0
HPRR4050491	0.0
HPRR2540567	0.0
HPRR3761047	0.0
HPRR260088	0.0
HPRR4280170	0.0
HPRR3890141	0.0
HPRR2551632	0.0
HPRR4390277	0.0
HPRR540010	0.0
HPRR280003	0.0
HPRR4460007	0.0
HPRR1460001	0.0
HPRR2200011	0.0
HPRR4310063	0.0
HPRR680239	0.0
HPRR4190087	0.0
HPRR1951747	0.0
HPRR3761220	0.0
HPRR2650003	0.0
HPRR280111	0.0
HPRR2551249	0.0
HPRR3950217	0.0
HPRR2550362	0.0
HPRR3890095	0.0
HPRR2050032	0.0
HPRR2760304	0.0
HPRR1950528	0.0
HPRR1450215	0.0
HPRR3730192	0.0
HPRR1450358	0.0
HPRR500083	0.0
HPRR2640146	0.0
HPRR2760182	0.0
HPRR2880070	0.0
HPRR3890559	0.0
HPRR1310038	0.0
HPRR2540435	0.0
HPRR4120086	0.0
HPRR140662	0.0
HPRR1951792	0.0
HPRR230897	0.0
HPRR1951645	0.0
HPRR4280132	0.0
HPRR1950385	0.0
HPRR1850008	0.0
HPRR2810004	0.0
HPRR3720023	0.0
HPRR2552126	0.0
HPRR2320220	0.0
HPRR2210116	0.0
HPRR231837	0.0
HPRR1951371	0.0
HPRR4190863	0.0
HPRR2500368	0.0
HPRR1951263	0.0
HPRR2050324	0.0
HPRR2050028	0.0
HPRR340181	0.0
HPRR1951865	0.0
HPRR4240053	0.0
HPRR670317	0.0
HPRR2500716	0.0
HPRR4160683	0.0
HPRR4430109	0.0
HPRR4220263	0.0
HPRR2700179	0.0
HPRR1840184	0.0
HPRR2551184	0.0
HPRR1450675	0.0
HPRR3670067	0.0
HPRR650006	0.0
HPRR3720232	0.0
HPRR2970116	0.0
HPRR2440464	0.0
HPRR4320615	0.0
HPRR3760883	0.0
HPRR1710003	0.0
HPRR4110422	0.0
HPRR3760434	0.0
HPRR2210058	0.0
HPRR1950229	0.0
HPRR4450234	0.0
HPRR2390055	0.0
HPRR280081	0.0
HPRR3780091	0.0
HPRR1951262	0.0
HPRR2250382	0.0
HPRR2750112	0.0
HPRR4320390	0.0
HPRR340034	0.0
HPRR2550633	0.0
HPRR1450319	0.0
HPRR640048	0.0
HPRR2390061	0.0
HPRR4350017	0.0
HPRR2390048	0.0
HPRR290033	0.0
HPRR3720606	0.0
HPRR1010001	0.0
HPRR4060158	0.0
HPRR3780010	0.0
HPRR3730312	0.0
HPRR1950075	0.0
HPRR3720679	0.0
HPRR2150237	0.0
HPRR500030	0.0
HPRR390019	0.0
HPRR2540609	0.0
HPRR3830287	0.0
HPRR3790336	0.0
HPRR2440405	0.0
HPRR4280057	0.0
HPRR4530049	0.0
HPRR2550550	0.0
HPRR2760180	0.0
HPRR231756	0.0
HPRR1952061	0.0
HPRR3770029	0.0
HPRR2310049	0.0
HPRR1951347	0.0
HPRR2551324	0.0
HPRR3970041	0.0
HPRR4030022	0.0
HPRR2390052	0.0
HPRR2760146	0.0
HPRR4370542	0.0
HPRR4050552	0.0
HPRR4030419	0.0
HPRR3890570	0.0
HPRR4470196	0.0
HPRR230870	0.0
HPRR4200118	0.0
HPRR4050590	0.0
HPRR3780084	0.0
HPRR1450363	0.0
HPRR2390049	0.0
HPRR3730589	0.0
HPRR2500196	0.0
HPRR3720617	0.0
HPRR231541	0.0
HPRR4030132	0.0
HPRR2550573	0.0
HPRR1370116	0.0
HPRR4120251	0.0
HPRR2620016	0.0
HPRR2010050	0.0
HPRR4190307	0.0
HPRR3760527	0.0
HPRR4030335	0.0
HPRR4310062	0.0
HPRR3760711	0.0
HPRR1370013	0.0
HPRR4450069	0.0
HPRR4390367	0.0
HPRR2110077	0.0
HPRR3730024	0.0
HPRR330224	0.0
HPRR4060165	0.0
HPRR4190550	0.0
HPRR2440760	0.0
HPRR4030471	0.0
HPRR2260008	0.0
HPRR3950112	0.0
HPRR2050226	0.0
HPRR3790495	0.0
HPRR4350010	0.0
HPRR4190190	0.0
HPRR4000237	0.0
HPRR3730168	0.0
HPRR4470205	0.0
HPRR3730429	0.0
HPRR3940080	0.0
HPRR280079	0.0
HPRR4340107	0.0
HPRR4160788	0.0
HPRR1410063	0.0
HPRR4290343	0.0
HPRR3920052	0.0
HPRR2551682	0.0
HPRR3780093	0.0
HPRR4290148	0.0
HPRR4420307	0.0
HPRR4420246	0.0
HPRR1440139	0.0
HPRR3730314	0.0
HPRR3720421	0.0
HPRR4000324	0.0
HPRR3790306	0.0
HPRR1952070	0.0
HPRR4350081	0.0
HPRR3720166	0.0
