Protein	Q_Value
HPRR2310052	0.0
HPRR2890041	0.0
HPRR2700128	0.0
HPRR1450141	0.0
HPRR2620054	0.0
HPRR3090113	0.0
HPRR1950268	0.0
HPRR232384	0.0
HPRR3140345	0.0
HPRR1951431	0.0
HPRR540013	0.0
HPRR1450059	0.0
HPRR2700178	0.0
HPRR1920021	0.0
HPRR2540402	0.0
HPRR2180104	0.0
HPRR2090043	0.0
HPRR1900002	0.0
HPRR1952500	0.0
HPRR360208	0.0
HPRR2390053	0.0
HPRR2050313	0.0
HPRR2320042	0.0
HPRR3450022	0.0
HPRR3910060	0.0
HPRR590037	0.0
HPRR1410031	0.0
HPRR340039	0.0
HPRR2330125	0.0
HPRR2551790	0.0
HPRR2320218	0.0
HPRR1951798	0.0
HPRR1950303	0.0
HPRR2551185	0.0
HPRR2150393	0.0
HPRR2501480	0.0
HPRR1950679	0.0
HPRR2810254	0.0
HPRR2110498	0.0
HPRR2110056	0.0
HPRR3730415	0.0
HPRR2640051	0.0
HPRR330275	0.0
HPRR3020476	0.0
HPRR2510213	0.0
HPRR3420055	0.0
HPRR1320009	0.0
HPRR2440154	0.0
HPRR2110489	0.0
HPRR2250386	0.0
HPRR300183	0.0
HPRR2110192	0.0
HPRR650016	0.0
HPRR1450073	0.0
HPRR4030046	0.0
HPRR2280170	0.0
HPRR670080	0.0
HPRR2360054	0.0
HPRR1950515	0.0
HPRR2510306	0.0
HPRR1951583	0.0
HPRR233074	0.0
HPRR2210165	0.0
HPRR2930357	0.0
HPRR1450208	0.0
HPRR3000481	0.0
HPRR2500088	0.0
HPRR370244	0.0
HPRR2540567	0.0
HPRR260088	0.0
HPRR2551632	0.0
HPRR540010	0.0
HPRR280003	0.0
HPRR1460001	0.0
HPRR2200011	0.0
HPRR680239	0.0
HPRR1951747	0.0
HPRR2650003	0.0
HPRR280111	0.0
HPRR2551249	0.0
HPRR3950217	0.0
HPRR2550362	0.0
HPRR2050032	0.0
HPRR2760304	0.0
HPRR1950528	0.0
HPRR1450215	0.0
HPRR1450358	0.0
HPRR500083	0.0
HPRR2640146	0.0
HPRR2760182	0.0
HPRR2880070	0.0
HPRR1310038	0.0
HPRR2540435	0.0
HPRR140662	0.0
HPRR1951792	0.0
HPRR230897	0.0
HPRR1951645	0.0
HPRR1950385	0.0
HPRR1850008	0.0
HPRR2810004	0.0
HPRR2552126	0.0
HPRR2320220	0.0
HPRR2210116	0.0
HPRR231837	0.0
HPRR1951371	0.0
HPRR2500368	0.0
HPRR1951263	0.0
HPRR2050324	0.0
HPRR2050028	0.0
HPRR340181	0.0
HPRR1951865	0.0
HPRR670317	0.0
HPRR2500716	0.0
HPRR4430109	0.0
HPRR2700179	0.0
HPRR1840184	0.0
HPRR2551184	0.0
HPRR1450675	0.0
HPRR650006	0.0
HPRR2970116	0.0
HPRR2440464	0.0
HPRR1710003	0.0
HPRR2210058	0.0
HPRR1950229	0.0
HPRR2390055	0.0
HPRR280081	0.0
HPRR1951262	0.0
HPRR2250382	0.0
HPRR2750112	0.0
HPRR340034	0.0
HPRR2550633	0.0
HPRR1450319	0.0
HPRR640048	0.0
HPRR2390061	0.0
HPRR4350017	0.0
HPRR2390048	0.0
HPRR290033	0.0
HPRR1010001	0.0
HPRR1950075	0.0
HPRR2150237	0.0
HPRR500030	0.0
HPRR390019	0.0
HPRR2540609	0.0
HPRR3830287	0.0
HPRR2440405	0.0
HPRR2550550	0.0
HPRR2760180	0.0
HPRR231756	0.0
HPRR1952061	0.0
HPRR2310049	0.0
HPRR1951347	0.0
HPRR2551324	0.0
HPRR2390052	0.0
HPRR2760146	0.0
HPRR230870	0.0
HPRR4050590	0.0
HPRR1450363	0.0
HPRR2390049	0.0
HPRR2500196	0.0
HPRR231541	0.0
HPRR2550573	0.0
HPRR1370116	0.0
HPRR2620016	0.0
HPRR2010050	0.0
HPRR1370013	0.0
HPRR2110077	0.0
HPRR330224	0.0
HPRR4190550	0.0
HPRR2440760	0.0
HPRR2260008	0.0
HPRR2050226	0.0
HPRR3790495	0.0
HPRR4190190	0.0
HPRR280079	0.0
HPRR4160788	0.0
HPRR1410063	0.0
HPRR2551682	0.0
HPRR1440139	0.0
HPRR3730314	0.0
HPRR3720421	0.0
HPRR1952070	0.0
HPRR3720166	0.0
HPRR1951653	0.0
HPRR2110442	0.0
HPRR4160492	0.0
HPRR4160302	0.0
HPRR2470377	0.0
HPRR1470130	0.0
HPRR2441086	0.0
HPRR2540222	0.0
HPRR140746	0.0
HPRR232666	0.0
HPRR4420088	0.0
HPRR4040278	0.0
HPRR2330128	0.0
HPRR3870078	0.0
HPRR2300033	0.0
HPRR1951788	0.0
HPRR3880239	0.0
HPRR2580010	0.0
HPRR4291008	0.0
HPRR4110123	0.0
HPRR4291057	0.0
HPRR4320653	0.0
HPRR4310047	0.009708737864077669
HPRR4320011	0.018957345971563982
HPRR4320525	0.018957345971563982
HPRR4320207	0.018957345971563982
HPRR4320299	0.018957345971563982
HPRR4320446	0.027777777777777776
HPRR4320263	0.027777777777777776
HPRR4180150	0.027777777777777776
HPRR4320047	0.027777777777777776
HPRR4320505	0.03669724770642202
HPRR4340083	0.04524886877828054
HPRR2540430	0.04524886877828054
HPRR4320323	0.09523809523809523
HPRR4340079	0.09523809523809523
HPRR4320302	0.09523809523809523
HPRR4320510	0.09523809523809523
HPRR4340104	0.10300429184549356
HPRR4340090	0.11715481171548117
HPRR4320287	0.11715481171548117
HPRR4310024	0.11715481171548117
HPRR4320107	0.11715481171548117
HPRR4320255	0.1984126984126984
HPRR4340044	0.1984126984126984
HPRR4320672	0.2047244094488189
HPRR4320378	0.2109375
HPRR4340016	0.24427480916030533
HPRR4291054	0.2631578947368421
HPRR4320235	0.2878228782287823
HPRR4320083	0.291970802919708
HPRR4340092	0.291970802919708
HPRR4320008	0.30324909747292417
HPRR4320470	0.3142857142857143
HPRR4320313	0.3298245614035088
HPRR4320224	0.3298245614035088
HPRR4310020	0.3402777777777778
HPRR4320033	0.3436426116838488
HPRR4320165	0.3436426116838488
HPRR4320029	0.35374149659863946
HPRR4320547	0.35570469798657717
HPRR4320532	0.35570469798657717
HPRR4320042	0.35570469798657717
HPRR4291001	0.3576158940397351
HPRR4320566	0.3576158940397351
HPRR3730276	0.3576158940397351
HPRR4320589	0.3618421052631579
HPRR4320173	0.36363636363636365
HPRR4320632	0.36363636363636365
HPRR4320422	0.36363636363636365
HPRR4320577	0.36774193548387096
HPRR3760696	0.3706070287539936
HPRR4320316	0.3706070287539936
HPRR4320183	0.379746835443038
HPRR4320286	0.3887147335423197
