Protein	Q_Value
HPRR3780010	0.0
HPRR3720532	0.0
HPRR4320615	0.0
HPRR4350096	0.0
HPRR4030528	0.0
HPRR4050590	0.0
HPRR3760567	0.0
HPRR4450069	0.0
HPRR4110155	0.0
HPRR3730415	0.0
HPRR3950020	0.0
HPRR3890570	0.0
HPRR4320417	0.0
HPRR3730444	0.0
HPRR4050261	0.0
HPRR3950217	0.0
HPRR3720352	0.0
HPRR4030177	0.0
HPRR4160484	0.0
HPRR4180150	0.0
HPRR4340029	0.0
HPRR3790336	0.0
HPRR3761106	0.0
HPRR3880146	0.0
HPRR2440154	0.0
HPRR3720606	0.0
HPRR1950303,HPRR4320390	0.0
HPRR3760696	0.0
HPRR3760883	0.0
HPRR3761220	0.0
HPRR3780084	0.0
HPRR3720232	0.0
HPRR4060128	0.0
HPRR1951583	0.0
HPRR4540014	0.0
HPRR2990028	0.0
HPRR3760765	0.0
HPRR3870078	0.0
HPRR3730192	0.0
HPRR3760008	0.0
HPRR2990033	0.0
HPRR3870348	0.0
HPRR3890559	0.0
HPRR4040278	0.0
HPRR4040265	0.0
HPRR3780093	0.0
HPRR3761107	0.0
HPRR4280170	0.0
HPRR4390277	0.0
HPRR4370542	0.0
HPRR4350081	0.0
HPRR3730276	0.0
HPRR4310063	0.0
HPRR3760436	0.0
HPRR3770042	0.0
HPRR3890843	0.0
HPRR3760407	0.0
HPRR3770029	0.0
HPRR4160392	0.0
HPRR3720679	0.0
HPRR3730168	0.0
HPRR4420016	0.0
HPRR4320123	0.0
HPRR4050491	0.0
HPRR4110213	0.0
HPRR3830190	0.0
HPRR4160492	0.0
HPRR4280132	0.0
HPRR3730445	0.0
HPRR4040559	0.0
HPRR3920052	0.0
HPRR4110252	0.0
HPRR3730024	0.0
HPRR4290148	0.0
HPRR3950112	0.0
HPRR4520044	0.0
HPRR4530051	0.0
HPRR4120086	0.0
HPRR4160683	0.0
HPRR4120251	0.0
HPRR4190307	0.0
HPRR3790306	0.0
HPRR3730146	0.0
HPRR3640011	0.0
HPRR3830287	0.0
HPRR3670067	0.0
HPRR3730589	0.0
HPRR3950052	0.0
HPRR4000324	0.0
HPRR4030419	0.0
HPRR4190863	0.0
HPRR4030012	0.0
HPRR2500088	0.0
HPRR3730250	0.0
HPRR3760825	0.0
HPRR4220485	0.0
HPRR3760498	0.0
HPRR4350017	0.0
HPRR230870,HPRR4200118	0.0
HPRR3761047	0.0
HPRR3890095	0.0
