Protein	Q_Value
HPRR2310052	0.0
HPRR2890041,HPRR3950020	0.0
HPRR2700128	0.0
HPRR1450141	0.0
HPRR2620054	0.0
HPRR3090113	0.0
HPRR1950268	0.0
HPRR232384	0.0
HPRR3140345	0.0
HPRR1951431	0.0
HPRR540013	0.0
HPRR1450059	0.0
HPRR2700178,HPRR3760765	0.0
HPRR1920021	0.0
HPRR2540402	0.0
HPRR2180104	0.0
HPRR2090043	0.0
HPRR1900002,HPRR3720352	0.0
HPRR1952500	0.0
HPRR360208	0.0
HPRR2390053,HPRR3761107	0.0
HPRR2050313,HPRR3760567	0.0
HPRR2320042	0.0
HPRR3450022	0.0
HPRR3910060	0.0
HPRR590037	0.0
HPRR1410031	0.0
HPRR340039	0.0
HPRR2330125	0.0
HPRR2551790	0.0
HPRR2320218	0.0
HPRR1951798	0.0
HPRR1950303	0.0
HPRR2551185	0.0
HPRR2150393	0.0
HPRR2501480	0.0
HPRR1950679	0.0
HPRR2810254	0.0
HPRR2110498	0.0
HPRR2110056,HPRR2990033	0.0
HPRR2620002,HPRR3730415	0.0
HPRR2640051,HPRR3770042	0.0
HPRR330275	0.0
HPRR3020476	0.0
HPRR2510213	0.0
HPRR3420055,HPRR4520044	0.0
HPRR1320009,HPRR4320595	0.0
HPRR2440154,HPRR3880146	0.0
HPRR2110489	0.0
HPRR2250386	0.0
HPRR300183,HPRR3760436	0.0
HPRR2110192	0.0
HPRR650016	0.0
HPRR1450073,HPRR4160447	0.0
HPRR4030046	0.0
HPRR2280170	0.0
HPRR670080	0.0
HPRR2360054	0.0
HPRR1950515	0.0
HPRR2510306	0.0
HPRR1951583,HPRR3761106	0.0
HPRR233074	0.0
HPRR2210165	0.0
HPRR2930357	0.0
HPRR1450208,HPRR4320489	0.0
HPRR3000481	0.0
HPRR2500088,HPRR4030012	0.0
HPRR370244	0.0
HPRR2540567,HPRR3761047	0.0
HPRR260088,HPRR4280170	0.0
HPRR2551632	0.0
HPRR540010	0.0
HPRR280003,HPRR4460007	0.0
HPRR1460001	0.0
HPRR2200011,HPRR4310063	0.0
HPRR4190087,HPRR680239	0.0
HPRR1951747,HPRR3761220	0.0
HPRR2650003	0.0
HPRR280111	0.0
HPRR2551249,HPRR3950217	0.0
HPRR2550362,HPRR3890095	0.0
HPRR2050032	0.0
HPRR2760304	0.0
HPRR1950528	0.0
HPRR1450215,HPRR3730192	0.0
HPRR1450358	0.0
HPRR500083	0.0
HPRR2640146	0.0
HPRR2760182	0.0
HPRR2880070,HPRR3890559	0.0
HPRR1310038	0.0
HPRR2540435,HPRR4120086	0.0
HPRR140662	0.0
HPRR1951792	0.0
HPRR230897	0.0
HPRR1951645,HPRR4280132	0.0
HPRR1950385	0.0
HPRR1850008	0.0
HPRR2810004,HPRR3720023	0.0
HPRR2552126	0.0
HPRR2320220	0.0
HPRR2210116	0.0
HPRR231837	0.0
HPRR1951371,HPRR4190863	0.0
HPRR2500368	0.0
HPRR1951263	0.0
HPRR2050324	0.0
HPRR2050028	0.0
HPRR340181	0.0
HPRR1951865,HPRR4240053	0.0
HPRR670317	0.0
HPRR2500716	0.0
HPRR1840184	0.0
HPRR2551184	0.0
HPRR1450675,HPRR3670067	0.0
HPRR650006	0.0
HPRR2440464	0.0
HPRR1710003	0.0
HPRR2210058	0.0
HPRR1950229	0.0
HPRR2390055	0.0
HPRR280081,HPRR3780091	0.0
HPRR1951262	0.0
HPRR2250382	0.0
HPRR2750112	0.0
HPRR340034	0.0
HPRR2550633	0.0
HPRR1450319	0.0
HPRR640048	0.0
HPRR2390061	0.0
HPRR2390048,HPRR4350017	0.0
HPRR290033,HPRR3720606	0.0
HPRR1010001	0.0
HPRR1950075	0.0
HPRR2150237	0.0
HPRR500030	0.0
HPRR390019	0.0
HPRR2540609	0.0
HPRR2440405,HPRR4280057	0.0
HPRR2550550	0.0
HPRR2760180	0.0
HPRR231756	0.0
HPRR1952061,HPRR3770029	0.0
HPRR2310049	0.0
HPRR1951347	0.0
HPRR2551324,HPRR3970041	0.0
HPRR2700179	0.0
HPRR2760146	0.0
HPRR230870,HPRR4200118	0.0
HPRR1450363	0.0
HPRR2500196,HPRR3720617	0.0
HPRR231541	0.0
HPRR2550573,HPRR4030132	0.0
HPRR1370116	0.0
HPRR2620016	0.0
HPRR2010050,HPRR4190307	0.0
HPRR1370013	0.0
HPRR2110077,HPRR3730024	0.0
HPRR330224	0.0
HPRR2440760,HPRR4030471	0.0
HPRR2260008	0.0
HPRR2050226,HPRR3790495	0.0
HPRR280079	0.0
HPRR1410063	0.0
HPRR2551682,HPRR3780093	0.0
HPRR1440139	0.0
HPRR1952070,HPRR3790306	0.0
HPRR3720166	0.0
HPRR1951653	0.0
HPRR2110442	0.0
HPRR4160492	0.0
HPRR2470377	0.0
HPRR1470130	0.0
HPRR2441086,HPRR3790889	0.0
HPRR2390049	0.0
HPRR2390052	0.0
HPRR2540222,HPRR3330016	0.0
HPRR140746	0.0
HPRR232666	0.0
HPRR2330128	0.0
HPRR2970116	0.0
HPRR2300033,HPRR3760008	0.0
HPRR4430109	0.0
HPRR1951788,HPRR4220485	0.0
HPRR2580010	0.0
HPRR4291008	0.0
HPRR4291057	0.0
HPRR4320653	0.0
HPRR4310047	0.005698005698005698
HPRR4320525	0.005698005698005698
HPRR4160788	0.005698005698005698
HPRR4320207	0.005698005698005698
HPRR4320299	0.005698005698005698
HPRR4320446	0.005698005698005698
HPRR4320263	0.005698005698005698
HPRR4180150	0.005698005698005698
HPRR4320047	0.005698005698005698
HPRR4320505	0.011299435028248588
HPRR4340083	0.01680672268907563
HPRR2540430	0.01680672268907563
HPRR4320323	0.04371584699453552
HPRR4340079	0.04371584699453552
HPRR4320302	0.04371584699453552
HPRR4320510	0.04371584699453552
HPRR4340104	0.04891304347826087
HPRR4340090	0.058823529411764705
HPRR4320287	0.058823529411764705
HPRR4310024	0.058823529411764705
HPRR4320107	0.058823529411764705
HPRR4320255	0.11369509043927649
HPRR4340044	0.11369509043927649
HPRR4320672	0.11825192802056556
HPRR4320378	0.12276214833759591
HPRR4340016	0.14609571788413098
HPRR4291054	0.15037593984962405
HPRR4320235	0.16831683168316833
HPRR4320083	0.171990171990172
HPRR4340092	0.171990171990172
HPRR4320008	0.18048780487804877
HPRR4320470	0.18886198547215496
HPRR4320313	0.19617224880382775
HPRR4320224	0.19617224880382775
HPRR4310020	0.2042755344418052
HPRR4320033	0.20803782505910165
HPRR4320029	0.21176470588235294
HPRR4320547	0.21445221445221446
HPRR4320532	0.21445221445221446
HPRR4320042	0.21445221445221446
HPRR4291001	0.21709006928406466
HPRR4320566	0.21709006928406466
HPRR3730276	0.21709006928406466
HPRR4320589	0.2191780821917808
HPRR4320173	0.2191780821917808
HPRR4320632	0.2191780821917808
HPRR4320422	0.2191780821917808
HPRR4320577	0.22272727272727272
HPRR3760696	0.22573363431151242
HPRR4320316	0.22573363431151242
HPRR3830287	0.24390243902439024
HPRR4320599	0.24390243902439024
HPRR4320551	0.24669603524229075
